player_name,platform,game_id,kills,score,ptype,trnchange,trnrating,matches
WBG Ranger,pc,652220488,13,605,p2,2.844999999999982,4945.9,8
WBG Ranger,pc,652136887,2,880,p2,-1.52349999999999,4943.1,9
WBG Ranger,pc,652024337,0,17,p2,-1.48224999999999,4944.6,10
OC LuanzeraMP,pc,666346220,5,845,p9,0.24799999999999278,4994,1
OC LuanzeraMP,pc,666321760,1,224,p9,-3,4993.8,2
OC LuanzeraMP,pc,666268406,6,885,p9,0.16999999999998183,4996.8,3
OC LuanzeraMP,pc,666222502,4,825,p9,0.14,4996.6,4
OC LuanzeraMP,pc,666176737,1,992,p9,0.14400000000001456,4996.5,5
OC LuanzeraMP,pc,666132241,5,825,p9,0.14799999999999275,4996.4,6
OC LuanzeraMP,pc,666082326,8,825,p9,0.19499999999998183,4996.3,7
OC LuanzeraMP,pc,666055223,0,354,p9,0,4996.1,8
OC LuanzeraMP,pc,666006803,8,905,p9,0.2050000000000182,4996.1,9
OC LuanzeraMP,pc,665979644,0,347,p9,0,4995.9,10
MiTH_Chambers,pc,672227530,6,376,p2,0.4305000000000064,4988.1,1
MiTH_Chambers,pc,672198787,11,605,p2,0.6449999999999818,4987.7,2
MiTH_Chambers,pc,672019036,6,505,p2,0.4689999999999873,4987.1,3
MiTH_Chambers,pc,671804505,0,30,p2,-3,4986.6,4
MiTH_Chambers,pc,671709675,11,667,p2,-2,4989.6,5
MiTH_Chambers,pc,671551349,12,605,p2,0.4599999999999909,4991.3,6
MiTH_Chambers,pc,671475224,25,1294,p2,-2,4990.8,7
MiTH_Chambers,pc,671277646,13,605,p2,0.41500000000000914,4992.1,8
MiTH_Chambers,pc,670804909,5,605,p2,0.34400000000001457,4991.7,9
MiTH_Chambers,pc,667579313,10,455,p10,0.35699999999999366,4990.2,10
Twitch_PuZiiyo,pc,670647514,40,3945,p9,-2,4976.2,1
Twitch_PuZiiyo,pc,670330750,1,82,p2,-67.09450000000001,2493.1,2
Twitch_PuZiiyo,pc,670330748,8,352,p9,0.4520000000000073,4977.9,3
Twitch_PuZiiyo,pc,662401015,4,405,p10,46.52199999999999,3717.3,4
Twitch_PuZiiyo,pc,661761044,9,1530,p9,0.9408000000000175,4977.4,5
Twitch_PuZiiyo,pc,661597723,12,1690,p9,1.2872500000000402,4975.5,6
Twitch_PuZiiyo,pc,661474703,4,560,p9,0.9835000000000127,4972.9,7
Twitch_PuZiiyo,pc,661432975,4,455,p9,0.5739999999999964,4971.9,8
Twitch_PuZiiyo,pc,661421076,1,130,p9,-3,4971.3,9
Twitch_PuZiiyo,pc,657975174,2,254,p9,-3,4974.3,10
Dark,pc,671807652,11,805,p10,2.140000000000009,4959.3,1
Dark,pc,671788064,8,158,p10,-2,4957.2,2
Dark,pc,671731284,6,286,p10,0.8320000000000073,4959.2,3
Dark,pc,671659583,6,765,p10,1.7320000000000075,4958.4,4
Dark,pc,671578952,7,845,p10,1.8040000000000145,4956.7,5
Dark,pc,671572159,4,134,p10,-2,4954.9,6
Dark,pc,671499050,2,807,p10,1.7959999999999856,4956.9,7
Dark,pc,671495677,1,100,p10,-3,4955.1,8
Dark,pc,671417847,5,617,p10,1.5189999999999872,4958.1,9
Dark,pc,671364312,0,17,p10,-3,4956.6,10
LP Zaxi,pc,671591431,11,792,p9,7.847474999999999,3961.5,1
LP Zaxi,pc,671519872,4,825,p9,45.89200000000001,3898.6,2
LP Zaxi,pc,671503805,1,109,p9,-30.7065,3852.7,3
LP Zaxi,pc,671470383,6,351,p9,22.788000000000004,3883.4,4
LP Zaxi,pc,671403060,8,432,p10,1.6030000000000064,4955.8,5
LP Zaxi,pc,671325124,10,805,p10,2.4099999999999913,4954.2,6
LP Zaxi,pc,667204532,11,1107,p10,0.9830400000000009,4951.8,7
LP Zaxi,pc,667110608,4,183,p9,8.61,3860.6,8
LP Zaxi,pc,667110605,2,174,p10,-3,4948.8,9
LP Zaxi,pc,666974004,0,555,p9,47.83200000000001,3852,10
mouz cRaBBLe,pc,673469810,6,705,p10,0.48799999999999283,4988.3,1
mouz cRaBBLe,pc,673372685,6,1325,p10,0.5068799999999829,4987.8,2
mouz cRaBBLe,pc,673215831,5,765,p10,0.5479999999999927,4986.8,3
mouz cRaBBLe,pc,673139637,9,785,p10,0.7199999999999819,4986.3,4
mouz cRaBBLe,pc,673079462,2,785,p10,0.6,4985.6,5
mouz cRaBBLe,pc,673002614,8,845,p10,0.7900000000000091,4985,6
mouz cRaBBLe,pc,672203715,5,281,p10,0.3220000000000073,4984.2,7
mouz cRaBBLe,pc,672077352,3,605,p2,27.355999999999987,4343.5,8
mouz cRaBBLe,pc,671294905,10,785,p10,0.8449999999999819,4983.9,9
mouz cRaBBLe,pc,671226415,6,845,p10,0.7040000000000146,4983.1,10
twitch_bogdanakh,pc,672257541,0,23,p2,-3,4960.8,1
twitch_bogdanakh,pc,671396769,18,712,p2,-2,4963.8,2
twitch_bogdanakh,pc,671315483,17,605,p2,1.7650000000000092,4966.5,3
twitch_bogdanakh,pc,671233352,21,605,p2,1.859999999999991,4964.7,4
twitch_bogdanakh,pc,671214602,18,386,p2,-2,4962.8,5
twitch_bogdanakh,pc,671166530,4,306,p2,0.7320000000000073,4964.1,6
twitch_bogdanakh,pc,670385111,13,605,p2,1.925,4963.4,7
twitch_bogdanakh,pc,666834972,0,21,p2,-3,4961.5,8
twitch_bogdanakh,pc,666824499,1,69,p10,-19.94025000000001,4255,9
twitch_bogdanakh,pc,666814448,0,34,p2,-3,4964.5,10
SypherPK,pc,673681743,13,605,p2,1.8550000000000182,4964.8,1
SypherPK,pc,673587008,13,605,p2,1.9550000000000183,4962.9,2
SypherPK,pc,669425401,6,475,p10,45.9025,3734.4,3
SypherPK,pc,669362711,10,625,p10,69.025,3688.5,4
SypherPK,pc,669353956,0,17,p10,-36.949,3619.5,5
SypherPK,pc,669349049,0,17,p10,-35.958999999999996,3656.4,6
SypherPK,pc,669344903,2,85,p10,-28.773000000000003,3692.4,7
SypherPK,pc,669338328,0,255,p10,-34.226499999999994,3721.2,8
SypherPK,pc,669263229,11,605,p10,65.505,3755.4,9
SypherPK,pc,669200842,0,255,p9,-4.889500000000005,4817.3,10
MrDoom TTV,pc,672569552,3,354,p10,0.2879999999999927,4985.9,1
MrDoom TTV,pc,672535822,0,105,p10,-3,4985.6,2
MrDoom TTV,pc,672447766,4,765,p10,0.47599999999998555,4988.6,3
MrDoom TTV,pc,672356783,7,745,p10,0.49599999999998556,4988.1,4
MrDoom TTV,pc,672277723,6,725,p10,0.5159999999999855,4987.6,5
MrDoom TTV,pc,672199745,7,785,p10,0.5359999999999855,4987.1,6
MrDoom TTV,pc,672106921,8,725,p10,0.7050000000000183,4986.6,7
MrDoom TTV,pc,672035721,5,785,p10,0.5879999999999928,4985.9,8
MrDoom TTV,pc,671983836,4,201,p10,0.3,4985.3,9
MrDoom TTV,pc,671971263,0,88,p10,-3,4985,10
Zaccubus,pc,672936702,7,650,p10,0.4024799999999982,4946.7,1
Zaccubus,pc,672927142,2,119,p10,-1.2307499999999958,4944.1,2
Zaccubus,pc,672886973,0,71,p10,-1.4636737500000072,4945.3,3
Zaccubus,pc,672875192,4,353,p10,1.0579999999999927,4948.2,4
Zaccubus,pc,672815183,1,82,p10,-1.41625,4947.1,5
Zaccubus,pc,672779434,4,350,p10,-1.1339999999999917,4948.5,6
Zaccubus,pc,672630203,12,645,p10,2.494999999999982,4952.6,7
Zaccubus,pc,672587053,6,262,p10,0.3770550000000025,4950.1,8
Zaccubus,pc,672549450,9,618,p10,-2,4948.7,9
Zaccubus,pc,670130126,12,645,p10,2.4099999999999913,4954.2,10
LP Merti,pc,672328821,9,405,p2,5.281499999999987,4854.4,1
LP Merti,pc,672202814,3,347,p2,3.8700000000000045,4849.1,2
LP Merti,pc,671427486,13,920,p10,0.3814773000000036,4949.5,3
LP Merti,pc,671313154,12,975,p10,0.3873066000000062,4948.7,4
LP Merti,pc,670816436,9,375,p9,0.9779999999999928,4952.1,5
LP Merti,pc,668020422,16,531,p2,1.170010411500002,4845.2,6
LP Merti,pc,667784267,2,89,p2,-3.5549999999999997,4838.4,7
LP Merti,pc,667700212,7,605,p2,6.584000000000015,4842,8
LP Merti,pc,666661226,6,300,p10,0.3937743749999981,4947.9,9
LP Merti,pc,666374383,5,186,p9,-2,4951.1,10
ItsWiKKiD,pc,670719875,10,1630,p9,-2,4981.2,1
ItsWiKKiD,pc,670650016,2,342,p9,-3,4984.2,2
ItsWiKKiD,pc,670591901,6,745,p9,0.675,4987.2,3
ItsWiKKiD,pc,670537352,5,585,p9,0.49000000000000005,4986.5,4
ItsWiKKiD,pc,670491397,13,1790,p9,-2,4986,5
ItsWiKKiD,pc,670389949,8,954,p9,-2,4987,6
